census_tract,rpp_spots
000100,2723
000201,77
000202,1946
000300,2702
000400,2469
000501,915
000502,1890
000600,3297
000701,1390
000702,673
000801,2690
000802,2369
000901,2162
000902,824
001001,5530
001002,912
001100,4511
001200,3338
001301,1279
001302,1123
001401,1172
001402,899
001500,12
001600,4589
001702,1537
001803,1001
001804,1357
001901,681
001902,855
002001,421
002002,1145
002101,595
002102,1225
002201,702
002202,682
002301,547
002302,143
002400,1415
002501,1316
002502,1349
002600,718
002701,903
002702,1127
002801,543
002802,574
002900,951
003000,661
003100,916
003200,1395
003301,1142
003302,927
003400,944
003500,698
003600,887
003700,627
003800,936
003900,825
004001,826
004002,440
004100,1985
004201,760
004202,548
004300,584
004400,1416
004600,1072
004701,335
004702,124
004801,908
004802,768
004901,876
004902,602
005001,632
005002,769
005201,863
005301,706
005500,1036
005600,681
005800,47
005900,87
006202,124
006400,986
006500,1339
006600,860
006700,1706
006801,912
006802,1168
006804,418
006900,1497
007000,1333
007100,1084
007200,556
007304,256
007401,594
007403,70
007404,77
007407,347
007408,220
007409,43
007502,258
007503,326
007504,118
007601,1002
007603,1032
007604,489
007605,170
007703,300
007707,73
007708,256
007709,417
007803,1619
007804,479
007806,725
007807,20
007808,440
007809,46
007901,1139
007903,871
008001,1174
008002,1812
008100,1088
008200,1166
008301,924
008302,959
008402,1001
008410,665
008701,973
008702,541
008802,852
008803,343
008804,380
008903,364
008904,285
009000,22
009102,834
009201,401
009203,696
009204,289
009301,1303
009302,670
009400,640
009501,413
009503,632
009504,1258
009505,523
009507,459
009508,1327
009509,682
009601,1460
009602,559
009603,354
009604,501
009700,79
009801,141
009802,106
009803,99
009804,84
009807,169
009810,48
009811,306
009901,206
009902,188
009903,438
009904,36
009905,56
009906,702
009907,62
010100,103
010200,610
010300,2093
010400,481
010500,574
010600,1508
010700,234
010800,255
011000,545
011100,1168
