SMD_ID,rpp_spots
1A01,227
1A02,368
1A03,165
1A04,452
1A05,404
1A06,451
1A07,436
1A08,695
1A09,458
1A10,613
1A11,364
1A12,274
1B01,755
1B02,765
1B03,372
1B04,392
1B05,309
1B06,405
1B07,93
1B08,272
1B09,575
1B10,302
1B11,277
1B12,358
1C01,388
1C02,517
1C03,331
1C04,425
1C05,323
1C06,345
1C07,434
1C08,503
1D01,512
1D02,169
1D03,560
1D04,216
1D05,573
2A01,53
2A02,148
2A03,318
2A04,270
2A05,54
2A06,376
2A07,130
2A08,133
2B01,385
2B02,349
2B03,406
2B04,391
2B05,315
2B06,279
2B07,283
2B08,340
2B09,541
2C01,82
2C02,86
2C03,1
2D01,1095
2D02,876
2E01,1211
2E02,1017
2E03,1002
2E05,509
2E06,1136
2E07,948
2E08,84
2F01,524
2F02,222
2F03,178
2F04,665
2F05,192
2F06,500
2F07,198
2F08,108
3B01,492
3B02,529
3B03,705
3B04,300
3B05,833
3C01,617
3C02,536
3C03,676
3C04,300
3C05,1409
3C06,602
3C07,850
3C08,3491
3C09,1422
3D01,1780
3D02,1249
3D03,579
3D04,497
3D05,1037
3D06,1050
3D07,15
3D08,286
3D09,1485
3D10,146
3E01,1451
3E02,1338
3E03,1954
3E04,2128
3E05,1831
3F01,1562
3F02,153
3F03,950
3F04,297
3F05,533
3F06,1585
3F07,439
3G03,225
3G04,12
3G05,1145
3G06,1070
3G07,1541
4A01,1640
4A02,2767
4A03,1372
4A04,816
4A05,271
4A06,198
4A07,590
4A08,718
4B01,1447
4B02,1105
4B03,653
4B04,177
4B05,259
4B06,678
4B07,1050
4B08,465
4B09,603
4C01,375
4C02,1019
4C03,896
4C04,305
4C05,575
4C06,595
4C07,699
4C08,874
4C09,381
4C10,338
4D01,275
4D02,507
4D03,385
4D04,352
4D05,610
4D06,453
5A01,617
5A02,415
5A03,368
5A05,94
5A06,18
5A07,602
5A08,782
5B01,449
5B02,606
5B03,379
5B04,1203
5B05,1152
5C01,153
5C02,346
5C03,47
5C04,657
5C05,705
5C06,127
5C07,381
5D01,343
5D02,327
5D03,269
5D04,100
5D05,280
5D06,592
5D07,276
5E01,401
5E02,187
5E03,769
5E04,838
5E05,748
5E06,638
5E07,783
5E08,584
5E09,664
5E10,563
6A01,763
6A02,886
6A03,841
6A04,1002
6A05,829
6A06,787
6A07,652
6A08,1196
6B01,1004
6B02,1060
6B03,1104
6B04,1040
6B05,884
6B06,1493
6B07,561
6B08,890
6B09,1241
6B10,906
6C01,726
6C02,476
6C03,1023
6C04,536
6C05,801
6C06,937
6D01,555
6D02,304
6D03,304
6D04,258
6D05,400
6D06,918
6D07,417
6E01,793
6E02,816
6E03,332
6E04,592
6E05,197
6E06,90
6E07,135
7B01,37
7B02,81
7B03,468
7B04,541
7B05,472
7B06,606
7B07,198
7C01,101
7C02,70
7C03,421
7C05,506
7C07,583
7D01,1071
7D02,737
7D03,1062
7D04,429
7D05,531
7D06,963
7D07,307
7E01,73
7E02,32
7E04,658
7E06,56
7E07,454
7F01,585
7F02,125
7F03,103
7F04,45
7F05,98
7F06,365
7F07,104
8A01,369
8A02,329
8A03,54
8A04,61
8A05,333
8A06,663
8A07,138
8B01,83
8B02,160
8B03,208
8B04,158
8B05,27
8B06,56
8C01,144
8C02,197
8C03,257
8C04,74
8C05,99
8C06,284
8C07,48
8D01,141
8D02,150
8D03,30
8D06,135
8D07,67
8E01,39
8E02,96
8E03,14
8E04,138
8E05,138
8E06,170
8E07,86
